city,zip
"Piran/Pirano, SI","6330, SI"
"Sečovlje/Sicciole, SI","6333, SI"
"Koper, SI","6501, SI"
"Koper, SI","6502, SI"
"Koper, SI","6503, SI"
"Koper, SI","6504, SI"
"Koper, SI","6505, SI"
"Koper, SI","6600, SI"
"Novo mesto - dostava, SI","8000, SI"
"Novo mesto - poštni predali, SI","8001, SI"
"Trebnje, SI","8210, SI"
"Dobrnič, SI","8211, SI"
"Velika Loka, SI","8212, SI"
"Veliki Gaber, SI","8213, SI"
"Mirna Peč, SI","8216, SI"
"Šmarješke Toplice, SI","8220, SI"
"Otočec, SI","8222, SI"
"Mokronog, SI","8230, SI"
"Trebelno, SI","8231, SI"
"Šentrupert, SI","8232, SI"
"Mirna, SI","8233, SI"
"Brežice, SI","8250, SI"
"Čatež ob Savi, SI","8251, SI"
"Artiče, SI","8253, SI"
"Globoko, SI","8254, SI"
"Pišece, SI","8255, SI"
"Sromlje, SI","8256, SI"
"Dobova, SI","8257, SI"
"Kapele, SI","8258, SI"
"Bizeljsko, SI","8259, SI"
"Jesenice na Dolenjskem, SI","8261, SI"
"Krška vas, SI","8262, SI"
"Cerklje ob Krki, SI","8263, SI"
"Krško, SI","8270, SI"
"Zdole, SI","8272, SI"
"Leskovec pri Krškem, SI","8273, SI"
"Raka, SI","8274, SI"
"Škocjan, SI","8275, SI"
"Bučka, SI","8276, SI"
"Brestanica, SI","8280, SI"
"Senovo, SI","8281, SI"
"Koprivnica, SI","8282, SI"
"Blanca, SI","8283, SI"
"Sevnica, SI","8290, SI"
"Zabukovje, SI","8292, SI"
"Studenec, SI","8293, SI"
"Boštanj, SI","8294, SI"
"Tržišče, SI","8295, SI"
"Krmelj, SI","8296, SI"
"Šentjanž, SI","8297, SI"
"Šentjernej, SI","8310, SI"
"Kostanjevica na Krki, SI","8311, SI"
"Podbočje, SI","8312, SI"
"Brusnice, SI","8321, SI"
"Stopiče, SI","8322, SI"
"Uršna sela, SI","8323, SI"
"Metlika, SI","8330, SI"
"Suhor, SI","8331, SI"
"Gradac, SI","8332, SI"
"Semič, SI","8333, SI"
"Črnomelj, SI","8340, SI"
"Adlešiči, SI","8341, SI"
"Stari trg ob Kolpi, SI","8342, SI"
"Dragatuš, SI","8343, SI"
"Vinica, SI","8344, SI"
"Dolenjske Toplice, SI","8350, SI"
"Straža, SI","8351, SI"
"Žužemberk, SI","8360, SI"
"Dvor, SI","8361, SI"
"Hinje, SI","8362, SI"
"Novo mesto, SI","8501, SI"
"Novo mesto, SI","8600, SI"
"Murska Sobota - dostava, SI","9000, SI"
"Murska Sobota - poštni predali, SI","9001, SI"
"Puconci, SI","9201, SI"
"Mačkovci, SI","9202, SI"
"Petrovci, SI","9203, SI"
"Šalovci, SI","9204, SI"
"Hodoš/Hodos, SI","9205, SI"
"Križevci, SI","9206, SI"
"Prosenjakovci/Partosfalva, SI","9207, SI"
"Fokovci, SI","9208, SI"
"Lendava/Lendva, SI","9220, SI"
"Martjanci, SI","9221, SI"
"Bogojina, SI","9222, SI"
"Dobrovnik/Dobronak, SI","9223, SI"
"Turnišče, SI","9224, SI"
"Velika Polana, SI","9225, SI"
"Moravske Toplice, SI","9226, SI"
"Kobilje, SI","9227, SI"
"Beltinci, SI","9231, SI"
"Črenšovci, SI","9232, SI"
"Odranci, SI","9233, SI"
"Ljutomer, SI","9240, SI"
"Veržej, SI","9241, SI"
"Križevci pri Ljutomeru, SI","9242, SI"
"Mala Nedelja, SI","9243, SI"
"Sv. Jurij ob Ščavnici, SI","9244, SI"
"Spodnji Ivanjci, SI","9245, SI"
"Gornja Radgona, SI","9250, SI"
"Tišina, SI","9251, SI"
"Radenci, SI","9252, SI"
"Apače, SI","9253, SI"
"Cankova, SI","9261, SI"
"Rogašovci, SI","9262, SI"
"Kuzma, SI","9263, SI"
"Grad, SI","9264, SI"
"Bodonci, SI","9265, SI"
"Murska Sobota, SI","9501, SI"
"Radenci, SI","9502, SI"
"Murska Sobota, SI","9600, SI"
