city,zip
"Vina, RS","19368, RS"
"Bučje, RS","19369, RS"
"Boljevac, RS","19370, RS"
"Lukovo, RS","19371, RS"
"Bogovina, RS","19372, RS"
"Šarbanovac, RS","19373, RS"
"Krivi Vir, RS","19375, RS"
"Sumrakovac, RS","19376, RS"
"Savinac, RS","19377, RS"
"Osnić, RS","19378, RS"
"Novi Sad, RS","21102, RS"
"Petrovaradin, RS","21131, RS"
"Rumenka, RS","21201, RS"
"Veternik, RS","21203, RS"
"Sremski Karlovci, RS","21205, RS"
"Ledinci, RS","21207, RS"
"Sremska Kamenica, RS","21208, RS"
"Bukovac, RS","21209, RS"
"Kisač, RS","21211, RS"
"Stepanovićevo, RS","21212, RS"
"Zmajevo, RS","21213, RS"
"Sirig, RS","21214, RS"
"Turija, RS","21215, RS"
"Nadalj, RS","21216, RS"
"Bačko Gradište, RS","21217, RS"
"Bečej, RS","21220, RS"
"Radičević, RS","21225, RS"
"Bačko Petrovo Selo, RS","21226, RS"
"Mileševo, RS","21227, RS"
"Žabalj, RS","21230, RS"
"Čenej, RS","21233, RS"
"Bački Jarak, RS","21234, RS"
"Temerin, RS","21235, RS"
"Temerin, RS","21236, RS"
"Gospođinci, RS","21237, RS"
"Čurug, RS","21238, RS"
"Đurđevo, RS","21239, RS"
"Titel, RS","21240, RS"
"Kać, RS","21241, RS"
"Budisava, RS","21242, RS"
"Kovilj, RS","21243, RS"
"Šajkaš, RS","21244, RS"
"Mošorin, RS","21245, RS"
"Vilovo, RS","21246, RS"
"Gardinovci, RS","21247, RS"
"Lok, RS","21248, RS"
"Rakovac, RS","21299, RS"
"Beočin, RS","21300, RS"
"Čerević, RS","21311, RS"
"Banoštor, RS","21312, RS"
"Susek, RS","21313, RS"
"Neštin, RS","21314, RS"
"Lug, RS","21315, RS"
"Bačka Palanka, RS","21400, RS"
"Futog, RS","21410, RS"
"Begeč, RS","21411, RS"
"Gložan, RS","21412, RS"
"Čelarevo, RS","21413, RS"
"Bač, RS","21420, RS"
"Karađorđevo, RS","21421, RS"
"Mladenovo, RS","21422, RS"
"Obrovac, RS","21423, RS"
"Tovariševo, RS","21424, RS"
"Selenča, RS","21425, RS"
"Vajska, RS","21426, RS"
"Bođani, RS","21427, RS"
"Plavna, RS","21428, RS"
"Bačko Novo Selo, RS","21429, RS"
"Nova Gajdobra, RS","21431, RS"
"Gajdobra, RS","21432, RS"
"Silbaš, RS","21433, RS"
"Parage, RS","21434, RS"
"Vrbas, RS","21460, RS"
"Bačko Dobro Polje, RS","21465, RS"
"Kucura, RS","21466, RS"
"Savino Selo, RS","21467, RS"
"Despotovo, RS","21468, RS"
"Pivnice, RS","21469, RS"
"Bački Petrovac, RS","21470, RS"
"Ravno Selo, RS","21471, RS"
"Kulpin, RS","21472, RS"
"Maglić, RS","21473, RS"
"Srbobran, RS","21480, RS"
"Sremska Mitrovica, RS","22000, RS"
"Zasavica, RS","22201, RS"
"Mačvanska Mitrovica, RS","22202, RS"
"Noćaj, RS","22203, RS"
"Salaš Noćajski, RS","22204, RS"
"Ravnje, RS","22205, RS"
"Ležimir, RS","22207, RS"
"Manđelos, RS","22208, RS"
"Veliki Radinci, RS","22211, RS"
"Bešenovo, RS","22212, RS"
"Grgurevci, RS","22213, RS"
"Bosut, RS","22217, RS"
"Laćarak, RS","22221, RS"
"Martinci, RS","22222, RS"
"Kuzmin, RS","22223, RS"
"Kukujevci, RS","22224, RS"
"Bačinci, RS","22225, RS"
"Erdevik, RS","22230, RS"
"Čalma, RS","22231, RS"
"Divoš, RS","22232, RS"
"Šid, RS","22239, RS"
"Vašica, RS","22241, RS"
"Berkasovo, RS","22242, RS"
"Sot, RS","22243, RS"
"Adaševci, RS","22244, RS"
"Morović, RS","22245, RS"
"Višnjićevo, RS","22246, RS"
"Sremska Rača, RS","22247, RS"
"Jamena, RS","22248, RS"
"Ilinci, RS","22250, RS"
"Batrovci, RS","22251, RS"
"Bingula, RS","22253, RS"
"Bikić Do, RS","22254, RS"
"Ljuba, RS","22255, RS"
"Molovin, RS","22256, RS"
"Privina Glava, RS","22257, RS"
"Gibarac, RS","22258, RS"
"Stara Pazova, RS","22300, RS"
