state,city,zip
"Khyber Pakhtunkhwa, PK","Khalabat Township, PK","22800, PK"
"Khyber Pakhtunkhwa, PK","Kalangar, PK","22810, PK"
"Khyber Pakhtunkhwa, PK","Gudwalian, PK","22830, PK"
"Khyber Pakhtunkhwa, PK","Sirikot, PK","22840, PK"
"Khyber Pakhtunkhwa, PK","Kandi Umer Khan, PK","22844, PK"
"Khyber Pakhtunkhwa, PK","Tarbela Dam Colony, PK","22850, PK"
"Khyber Pakhtunkhwa, PK","Ghazi, PK","22860, PK"
"Khyber Pakhtunkhwa, PK","Dewan Suleman Farooq Industrial Area, PK","22870, PK"
"Khyber Pakhtunkhwa, PK","Thana, PK","23000, PK"
"Khyber Pakhtunkhwa, PK","Dheri Alla Dhand, PK","23010, PK"
"Khyber Pakhtunkhwa, PK","Batkhela Gpo, PK","23020, PK"
"Khyber Pakhtunkhwa, PK","Totakan, PK","23030, PK"
"Khyber Pakhtunkhwa, PK","Gamseer, PK","23040, PK"
"Khyber Pakhtunkhwa, PK","Malakand, PK","23050, PK"
"Khyber Pakhtunkhwa, PK","Dargai, PK","23060, PK"
"Khyber Pakhtunkhwa, PK","Baizu Kharki, PK","23090, PK"
"Khyber Pakhtunkhwa, PK","Sher Garh, PK","23100, PK"
"Khyber Pakhtunkhwa, PK","Hathian, PK","23120, PK"
"Khyber Pakhtunkhwa, PK","Lund Khawar, PK","23130, PK"
"Khyber Pakhtunkhwa, PK","Tazagram, PK","23140, PK"
"Khyber Pakhtunkhwa, PK","Jalala, PK","23150, PK"
"Khyber Pakhtunkhwa, PK","Umarabad, PK","23154, PK"
"Khyber Pakhtunkhwa, PK","Takkar, PK","23164, PK"
"Khyber Pakhtunkhwa, PK","Gharibabad, PK","23166, PK"
"Khyber Pakhtunkhwa, PK","Gujar Garhi, PK","23170, PK"
"Khyber Pakhtunkhwa, PK","Mardan Gpo, PK","23200, PK"
"Khyber Pakhtunkhwa, PK","Mardan Sugar Research Institute, PK","23210, PK"
"Khyber Pakhtunkhwa, PK","Bakhshali, PK","23220, PK"
"Khyber Pakhtunkhwa, PK","Jamal Garhi, PK","23230, PK"
"Khyber Pakhtunkhwa, PK","Katlang, PK","23240, PK"
"Khyber Pakhtunkhwa, PK","Babu Zai, PK","23250, PK"
"Khyber Pakhtunkhwa, PK","Kohi Barmol, PK","23260, PK"
"Khyber Pakhtunkhwa, PK","Plai, PK","23270, PK"
"Khyber Pakhtunkhwa, PK","Sattar Khan Colony, PK","23280, PK"
"Khyber Pakhtunkhwa, PK","Mayar, PK","23290, PK"
"Khyber Pakhtunkhwa, PK","Toru, PK","23300, PK"
"Khyber Pakhtunkhwa, PK","Garhi Kapura, PK","23310, PK"
"Khyber Pakhtunkhwa, PK","Yar Hussain, PK","23320, PK"
"Khyber Pakhtunkhwa, PK","Dobian, PK","23330, PK"
"Khyber Pakhtunkhwa, PK","Dogai, PK","23340, PK"
"Khyber Pakhtunkhwa, PK","Gujrat (Mardan), PK","23350, PK"
"Khyber Pakhtunkhwa, PK","Sawal Dher, PK","23360, PK"
"Khyber Pakhtunkhwa, PK","Rustam, PK","23370, PK"
"Khyber Pakhtunkhwa, PK","Palo Dheri, PK","23380, PK"
"Khyber Pakhtunkhwa, PK","Shah Baz Garhi, PK","23390, PK"
"Khyber Pakhtunkhwa, PK","Ismaila, PK","23400, PK"
"Khyber Pakhtunkhwa, PK","Kalu Khan, PK","23410, PK"
"Khyber Pakhtunkhwa, PK","Nawan Killi, PK","23420, PK"
"Khyber Pakhtunkhwa, PK","Sheikh Jana, PK","23422, PK"
"Khyber Pakhtunkhwa, PK","Shewa, PK","23424, PK"
"Khyber Pakhtunkhwa, PK","Sawabi, PK","23430, PK"
"Khyber Pakhtunkhwa, PK","Totlai, PK","23434, PK"
"Khyber Pakhtunkhwa, PK","Bamkhel, PK","23440, PK"
"Khyber Pakhtunkhwa, PK","Maini, PK","23450, PK"
"Khyber Pakhtunkhwa, PK","Gadoon Amazai, PK","23454, PK"
"Khyber Pakhtunkhwa, PK","Topi, PK","23460, PK"
"Khyber Pakhtunkhwa, PK","Right Bank (Tarbella), PK","23470, PK"
"Khyber Pakhtunkhwa, PK","Gandaf, PK","23480, PK"
"Khyber Pakhtunkhwa, PK","Deval, PK","23490, PK"
"Khyber Pakhtunkhwa, PK","Kotha, PK","23500, PK"
"Khyber Pakhtunkhwa, PK","Zarobi, PK","23510, PK"
"Khyber Pakhtunkhwa, PK","Kalabat, PK","23520, PK"
"Khyber Pakhtunkhwa, PK","Marghuz, PK","23530, PK"
"Khyber Pakhtunkhwa, PK","Zaida, PK","23540, PK"
"Khyber Pakhtunkhwa, PK","Garmanara, PK","23550, PK"
"Khyber Pakhtunkhwa, PK","Khunda, PK","23560, PK"
"Khyber Pakhtunkhwa, PK","Lahor Chhota (Mardan), PK","23570, PK"
"Khyber Pakhtunkhwa, PK","Jalsai, PK","23580, PK"
